COLLEGE,MAJOR CIP,HEAD COUNT
Sir Sandford Fleming College,International Business/Trade/Commerce,53
Sir Sandford Fleming College,"Legal Professions and Studies, Other",27
Sir Sandford Fleming College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",238
Sir Sandford Fleming College,Massage Therapy/Therapeutic Massage,87
Sir Sandford Fleming College,Museology/Museum Studies,30
Sir Sandford Fleming College,"Natural Resources Conservation and Research, Other",116
Sir Sandford Fleming College,"Natural Resources Management and Policy, General",170
Sir Sandford Fleming College,"Natural Resources Management and Policy, Other",28
Sir Sandford Fleming College,Not Codeable,"1,074"
Sir Sandford Fleming College,Occupational Therapist Assistant,68
Sir Sandford Fleming College,"Parks, Recreation and Leisure Studies",80
Sir Sandford Fleming College,Photography,11
Sir Sandford Fleming College,"Precision Metal Working, Other",16
Sir Sandford Fleming College,Resort Management,20
Sir Sandford Fleming College,"Restaurant, Culinary and Catering Management/Manager",70
Sir Sandford Fleming College,Securities Services Administration/Management,63
Sir Sandford Fleming College,"Security and Protective Services, Other",21
Sir Sandford Fleming College,"Social Work, General",264
Sir Sandford Fleming College,Substance Abuse/Addiction Counselling,114
Sir Sandford Fleming College,"Teaching Assistants/Aides, General",84
Sir Sandford Fleming College,Tourism and Travel Services Marketing Operations,64
Sir Sandford Fleming College,Urban Forestry,43
Sir Sandford Fleming College,"Visual and Performing Arts, General",38
Sir Sandford Fleming College,Welding Technology/Welder,43
Sir Sandford Fleming College,Wildlife and Wildlands Science and Management,334
Sir Sandford Fleming College,Total,"5,787"
Total,,"216,881"
