COLLEGE,MAJOR CIP,HEAD COUNT
Fanshawe College,Behavioural Sciences,33
Fanshawe College,Biotechnology,64
Fanshawe College,Broadcast Journalism,95
Fanshawe College,"Business/Commerce, General",431
Fanshawe College,Business/Corporate Communications,57
Fanshawe College,Carpentry/Carpenter,101
Fanshawe College,Cartography,98
Fanshawe College,Child Care Provider/Assistant,445
Fanshawe College,Cinematography and Film/Video Production,33
Fanshawe College,Civil Engineering Technology/Technician,239
Fanshawe College,Computer Systems Analysis/Analyst,368
Fanshawe College,Computer Technology/Computer Systems Technology,395
Fanshawe College,Construction Engineering Technology/Technician,239
Fanshawe College,Criminal Justice/Police Science,537
Fanshawe College,Culinary Arts/Chef Training,62
Fanshawe College,Dental Assisting/Assistant,54
Fanshawe College,"Drama and Dramatics/Theatre Arts, General",46
Fanshawe College,"Electrical, Electronic and Communications Engineering Technology/Technician",271
Fanshawe College,Electrician,130
Fanshawe College,Emergency Medical Technology/Technician (EMT Paramedic),95
Fanshawe College,English as a Second Language,55
Fanshawe College,Environmental Engineering Technology/Environmental Technology,105
Fanshawe College,Executive Assistant/Executive Secretary,84
Fanshawe College,Family and Community Services,299
Fanshawe College,Fashion Merchandising,159
Fanshawe College,Fashion/Apparel Design,100
Fanshawe College,Financial Planning and Services,29
Fanshawe College,"Fine/Studio Arts, General",50
Fanshawe College,General Office Occupations and Clerical Services,25
Fanshawe College,General Studies,821
Fanshawe College,Graphic Design,272
Fanshawe College,Hair Styling/Stylist and Hair Design,25
Fanshawe College,Health Aide,104
Fanshawe College,"Health and Physical Education, General",161
Fanshawe College,"Health/Medical Preparatory Programs, Other",493
Fanshawe College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",42
Fanshawe College,Home Furnishings and Equipment Installers,90
Fanshawe College,"Hospitality Administration/Management, Other",17
Fanshawe College,"Human Resources Management/Personnel Administration, General",145
Fanshawe College,"Human Services, General",142
Fanshawe College,Industrial Mechanics and Maintenance Technology,23
Fanshawe College,Instrumentation Technology/Technician,19
Fanshawe College,Insurance,102
Fanshawe College,Interior Design,124
