,,"ACTIVE APPRENTICESHIP PROGRAM PARTICIPANTS, APPRENTICESHIP SPONSORS & APPROVED TRAINING DELIVERY AGENTS (TDA) BY TRADE - PROVINCE OF ONTARIO",,,,,,,,,,,,
TRADE SECTOR,TRADE NAME,TRADE CODE,RED SEAL,TOTAL PARTICIPANTS,FEMALE,MALE,AGE UNDER 20,AGE 20-29,AGE 30-44,AGE 45-54,AGE 55PLUS,SPONSORS*,PUBLIC TDAS*,PRIVATE TDAS*
SERVICE,Information Technology - Network Technician,634C,NO,64,<20,>20,<20,<20,30,<20,<20,30,1,0
SERVICE,Institutional Cook,415D,NO,36,>20,<20,<20,<20,<20,<20,<20,19,3,0
SERVICE,Micro Electronics Manufacturer,630A,NO,196,103,93,0,<20,99,60,<20,5,1,0
SERVICE,Native Clothing and Crafts Artisan,296B,NO,0,0,0,0,0,0,0,0,0,0,0
SERVICE,Network Cabling Specialist,631A,NO,257,<20,>20,<20,91,102,52,<20,72,1,1
SERVICE,Parts Technician,240P,YES,340,66,274,<20,>20,>20,>20,>20,157,2,0
SERVICE,"Pool, Hot Tub and Spa - Installer",237T,NO,34,0,34,0,<20,21,<20,0,15,0,0
SERVICE,"Pool, Hot Tub and Spa - Service Technician",237S,NO,60,<20,>20,0,<20,34,<20,<20,24,0,0
SERVICE,Retail Meat Cutter,245R,NO,111,<20,>20,<20,61,27,<20,<20,82,0,1
SERVICE,Saddlery,219C,NO,<20,0,<20,0,0,0,<20,0,1,0,0
SERVICE,Special Events Coordinator,297B,NO,46,>20,<20,<20,<20,<20,<20,<20,24,0,0
SERVICE,Utility Arborist,444B,NO,235,<20,>20,<20,140,79,<20,<20,37,2,1
,,Grand Total,,116499,28095,88404,6840,63974,33794,8564,3327,33603,24,53
,,* Unique Counts cannot be derived by summing these columns. Unique totals are provided on the Grand Total Summary Line.,,,,,,,,,,,,
,,Notes:,,,,,,,,,,,,
,,"1. Cells with counts representing individuals that total less than 20 have been supressed for privacy reasons indicated with an ""<20"". ",,,,,,,,,,,,
,,"When appropriate, counts of remaining age ranges in the same trade, where providing those values allow the suppressed value to be calculated, ",,,,,,,,,,,,
,,"were also supressed for privacy reasons and indicated with an "">20"".",,,,,,,,,,,,
,,"2.As one employer may sponsor apprentices in multiple trades, this column cannot be summed to arrive at the total number of unique apprenticeship sponsors. ",,,,,,,,,,,,
,,3.Training Delivery Agents (TDAs) are approved by the Ministry to deliver in the in-class component of apprenticeship program. ,,,,,,,,,,,,
,,"4.As one TDA may deliver classroom training for multiple trades, this column cannot be summed to arrive at the total number of unique TDAs. ",,,,,,,,,,,,
