UNIVERSITY,COUNTRY OF CITIZENSHIP,HEAD COUNT
Toronto,IRAN,770
Toronto,IRAQ,88
Toronto,IRELAND REPUBLIC OF (EIRE),55
Toronto,ISRAEL,193
Toronto,ITALY,76
Toronto,JAMAICA,91
Toronto,JAPAN,210
Toronto,JORDAN,119
Toronto,KAZAKHSTAN,79
Toronto,KENYA,44
Toronto,KOREA SOUTH,"1,492"
Toronto,KUWAIT,32
Toronto,LEBANON,89
Toronto,MACAU,23
Toronto,MALAYSIA,257
Toronto,MAURITIUS,81
Toronto,MEXICO,114
Toronto,"MOLDOVA, REPUBLIC OF",14
Toronto,MOROCCO,13
Toronto,NEPAL,38
Toronto,NETHERLANDS,48
Toronto,NEW ZEALAND,34
Toronto,NIGERIA,240
Toronto,NORWAY,18
Toronto,OMAN,21
Toronto,PAKISTAN,688
Toronto,PALESTINIAN TERRITORY OCCUPIED,32
Toronto,PANAMA,12
Toronto,PERU,38
Toronto,PHILIPPINES,328
Toronto,POLAND,48
Toronto,PORTUGAL,25
Toronto,ROMANIA,62
Toronto,RUSSIA (OLD U.S.S.R.),30
Toronto,RUSSIAN FEDERATION,137
Toronto,RWANDA,17
Toronto,SAUDI ARABIA,199
Toronto,SERBIA,12
Toronto,SERBIA AND MONTENEGRO,12
Toronto,SINGAPORE,135
Toronto,SLOVAKIA,11
Toronto,SOMALIA,16
Toronto,SOUTH AFRICA,28
Toronto,SPAIN,39
Toronto,SRI LANKA,217
Toronto,SUDAN,29
Toronto,SWEDEN,24
Toronto,SWITZERLAND,32
Toronto,Syria,46
Toronto,TAIWAN,437
Toronto,TANZANIA UNITED REPUBLIC OF,26
Toronto,THAILAND,57
Toronto,TRINIDAD AND TOBAGO,100
Toronto,TURKEY,149
Toronto,UGANDA,17
Toronto,UKRAINE,101
Toronto,UNITED ARAB EMIRATES,28
Toronto,UNITED KINGDOM,298
Toronto,UNITED STATES,905
Toronto,UZBEKISTAN,10
Toronto,VENEZUELA,42
Toronto,VIET NAM,101
